Job Title,Company,Location,Salary,Posting Date,Extract Date,Summary,Job Url
,Setfive Consulting,"Cambridge, MA 02139 (Riverside area)","1-2 years professional Angular experience.
B.S. in Computer Science, Software Engineering or Computer Engineering from a 4 year university preferred.","$60,000 - $90,000 a year",EmployerActive 3 days ago,2022-07-25,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0By7rTC3PWkwdblAzS-0B5FCr1UVXLZOjzXSk8Ch_PIhrOJfjaj7etWgU76dUcb5kpncoi77kquvi6rWDXvvrspbBEglyfKNULrgoPsc4T5npzl0wmA6dkzd4VpVVLBBGxSUQewo7sRz6kcbEVk42bxzODFnn_IHA1RH7UQnhXmHG2N9GkA5UykF1-wsCZOvijIMRI2lbrYucu7KpLozREGx5Gn0DNltYXam_zhllIYdMEewg2TBdKYGssk1YrOE1N3R2lWO_qKyX-RYkxleRdrsaiyosATTEdXWx8JuHHT0bxHFSpmCoCupJ2biShRQ1Ur2_PIYQlUR0QN69o-Byd0sndPkQq-PmOLu6aSyHgJb9Sx8pVPQPkPC5zHOqufThgwgp1jcwAYNwesGrtFFWbAgP4ejm1LRwNdsRGoXiE5ldujHLIc_Qw-nglYxHWhEsyviGfbcyXFAa6dY8HmknXHClj5GonUWh1xwgdV9J5Lhc0l5PSqmJQs&xkcb=SoCi-_M3baearO2YCZ0LbzkdCdPP&p=0&fvj=1&vjs=3
,NetCapital,"Boston, MA","SEC-registered and FINRA-member Funding Portal.
Empowering investors to control their portfolios.
Bachelor’s degree in Computer Science or Engineering.",,PostedPosted 30+ days ago,2022-07-25,https://www.indeed.com/rc/clk?jk=37ff2cd0ca986b72&fccid=80dc3e5980f3310f&vjs=3
,UniversityWafer Inc.,"Boston, MA 02127 (South Boston area)","Sign on bonus available - $500*.
Design and develop code using C# and VB.NET.
Additional experience with HTML5, CSS, ASPX, SQL and PHP.",$25 - $45 an hour,EmployerActive 3 days ago,2022-07-25,https://www.indeed.com/company/UniversityWafer-Inc./jobs/Junior-Web-Developer-11a9dacc19e25be7?fccid=7509cc361fd28f55&vjs=3
,QSimulate,"Boston, MA 02135 (Brighton area)","These tools are being used in such areas as Drug Discovery, Materials Science, and AI.
Demonstrated proficiency in python required.
Experience with CI/CD tools.",,EmployerActive 4 days ago,2022-07-25,https://www.indeed.com/company/QSimulate/jobs/Junior-Software-Engineer-75d83801d2093a4a?fccid=e26177525f84d36f&vjs=3
,Group Delphi,"Remote in Boston, MA","Software Engineer 1 will be responsible for writing code, writing tests, investigating, and fixing bugs.
The position reports to the Lead Software Engineer and…",,PostedPosted 30+ days ago,2022-07-25,https://www.indeed.com/company/Group-Delphi/jobs/Junior-Software-Developer-ed0e91f75a4e027f?fccid=95a60db115e76460&vjs=3
,"Evergreen Technologies, LLC.","Remote in Boston, MA","Bachelor of Science in Computer Science, Informatics, Information Technology or equivalent work experience.
Requires minimum of 5 years of experience in working…",,PostedPosted 6 days ago,2022-07-25,https://www.indeed.com/rc/clk?jk=083996a6c43a2d1c&fccid=506bdb7ba382e227&vjs=3
,Data Ductus,"Boston, MA","With the senior members of our team, you will tune best practices for software development using such tools as BitBucket, Jira, Trello, and Jenkins, and you…",,PostedPosted 30+ days ago,2022-07-25,https://www.indeed.com/rc/clk?jk=e2baaaa8500d23a2&fccid=cba50e42f8f51b03&vjs=3
,Nou Systems Inc,"Remote in Lexington, MA 02420","You must have a bachelor’s degree at minimum, in a technical field such as Computer Science, Mathematics, or Physical Science, or the equivalent relevant…","$56,200 - $118,600 a year",PostedPosted 30+ days ago,2022-07-25,https://www.indeed.com/rc/clk?jk=989ec88e28ac27b7&fccid=2970d72f040bc378&vjs=3
,Data Ductus,"Boston, MA","We are software engineers with a passion to solve technically challenging problems in agile, scalable teams using the latest tools and languages.",,PostedPosted 30+ days ago,2022-07-25,https://www.indeed.com/rc/clk?jk=3ad05fd643c78d94&fccid=cba50e42f8f51b03&vjs=3
,Humana,"Remote in Boston, MA 02210",The Software Engineer 2 work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action.,,PostedPosted 2 days ago,2022-07-25,https://www.indeed.com/rc/clk?jk=cbb03c6fad61f923&fccid=5f1f0e6dcc6cbc83&vjs=3
,Bindable,"Boston, MA 02109 (Central area)","They will be working closely with Bindable’s Product Design and Engineering teams to bring intuitive user experiences to life.
Good comfort level on a Mac.",,PostedPosted 4 days ago,2022-07-25,https://www.indeed.com/rc/clk?jk=7b3889437b783dea&fccid=f58c4449f52b0363&vjs=3
,Dtiq Technologies Inc,"Framingham, MA 01701",The Junior Front-End Developer is responsible for designing dynamic web applications for DTiQ’s internal and customer facing applications.,,PostedPosted 30+ days ago,2022-07-25,https://www.indeed.com/rc/clk?jk=2c227e22f40a4b68&fccid=dd616958bd9ddc12&vjs=3
